Column,Question,Asked
GenderSelect,Select your gender identity. - Selected Choice,All
GenderFreeForm,Select your gender identity. - A different identity - Text,All
Country,Select the country you currently live in.,All
Age,What's your age?,All
EmploymentStatus,What's your current employment status?,All
StudentStatus,Are you currently enrolled as a student at a degree granting school?,Non-worker
LearningDataScience,Are you currently focused on learning data science skills either formally or informally?,Non-worker
KaggleMotivationFreeForm,What's your motivation for being a Kaggle user?,Non-switcher
CodeWriter,"Do you write code to analyze data in your current job, freelance contracts, or most recent job if retired?",Worker1
CareerSwitcher,Are you actively looking to switch careers to data science?,Worker1
CurrentJobTitleSelect,Select the option that's most similar to your current job/professional title (or most recent title if retired). - Selected Choice,Worker1
CurrentJobTitleFreeForm,Select the option that's most similar to your current job/professional title (or most recent title if retired). - Other - Text,Worker1
TitleFit,How adequately do you feel your title describes what you do (or what you did if retired)?,Worker1
CurrentEmployerType,Which of the following describe your current employer (or most recent employer if retired)? (Select all that apply),Worker1
MLToolNextYearSelect,Which tool or technology are you most excited about learning in the next year? (Select one option) - Selected Choice,All
MLToolNextYearFreeForm,Which tool or technology are you most excited about learning in the next year? (Select one option) - Other - Text,All
MLMethodNextYearSelect,Which ML/DS method are you most excited about learning in the next year? (Select one option) - Selected Choice,All
MLMethodNextYearFreeForm,Which ML/DS method are you most excited about learning in the next year? (Select one option) - Other - Text,All
LanguageRecommendationSelect,What programming language would you recommend a new data scientist learn first? (Select one option) - Selected Choice,All
LanguageRecommendationFreeForm,What programming language would you recommend a new data scientist learn first? (Select one option) - Other - Text,All
PublicDatasetsSelect,Where do you find public datasets to practice data science skills? (Select all that apply) - Selected Choice,All
PublicDatasetsFreeForm,Where do you find public datasets to practice data science skills? (Select all that apply) - Other - Text,All
PersonalProjectsChallengeFreeForm,What is your biggest challenge with the public datasets you find for personal projects?,All
LearningPlatformSelect,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Selected Choice,All
LearningPlatformCommunityFreeForm,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Non-Kaggle online communities - Text,All
LearningPlatformFreeForm1,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text1,All
LearningPlatformFreeForm2,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text2,All
LearningPlatformFreeForm3,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text3,All
LearningPlatformUsefulnessArxiv,How useful did you find these platforms & resources for learning data science skills? - Arxiv,All
LearningPlatformUsefulnessBlogs,How useful did you find these platforms & resources for learning data science skills? - Blogs,All
LearningPlatformUsefulnessCollege,How useful did you find these platforms & resources for learning data science skills? - College/University,All
LearningPlatformUsefulnessCompany,How useful did you find these platforms & resources for learning data science skills? - Company internal community,All
LearningPlatformUsefulnessConferences,How useful did you find these platforms & resources for learning data science skills? - Conferences,All
